,open,close,high,low,volume,time,HA_Close,HA_Open,HA_High,HA_Low
95,31097.2,31208.7,31288.0,31080.8,4061.41,2023-07-14 08:00:00,31168.675,31233.799193710125,31288.0,31080.8
96,31208.7,31237.9,31363.9,31049.2,5591.55,2023-07-14 12:00:00,31214.925000000003,31224.362096855064,31363.9,31049.2
97,31239.7,30100.9,31270.0,29880.4,29020.02,2023-07-14 16:00:00,30622.75,30923.556048427534,31270.0,29880.4
98,30100.9,30288.0,30295.1,29966.9,6141.08,2023-07-14 20:00:00,30162.725,30543.140524213766,30543.140524213766,29966.9
99,30288.0,30274.5,30374.0,30216.2,4091.98,2023-07-15 00:00:00,30288.175,30415.657762106883,30415.657762106883,30216.2
100,30274.5,30316.3,30345.9,30237.3,2014.79,2023-07-15 04:00:00,30293.5,30354.578881053443,30354.578881053443,30237.3
101,30316.3,30294.3,30356.0,30260.0,2431.65,2023-07-15 08:00:00,30306.65,30330.614440526722,30356.0,30260.0
102,30294.3,30286.1,30344.6,30235.3,2171.11,2023-07-15 12:00:00,30290.074999999997,30310.34472026336,30344.6,30235.3
103,30286.1,30310.9,30336.8,30234.0,1700.37,2023-07-15 16:00:00,30291.949999999997,30301.14736013168,30336.8,30234.0
104,30310.9,30274.5,30310.9,30252.3,903.38,2023-07-15 20:00:00,30287.15,30294.14868006584,30310.9,30252.3
105,30273.1,30173.4,30318.8,30043.0,6287.02,2023-07-16 00:00:00,30202.074999999997,30248.111840032918,30318.8,30043.0
106,30173.3,30251.0,30293.0,30120.7,2941.78,2023-07-16 04:00:00,30209.5,30228.805920016457,30293.0,30120.7
107,30251.0,30288.8,30330.0,30248.9,1982.27,2023-07-16 08:00:00,30279.675,30254.24046000823,30330.0,30248.9
108,30288.8,30364.9,30429.1,30252.6,4423.87,2023-07-16 12:00:00,30333.85,30294.045230004114,30429.1,30252.6
109,30364.9,30237.9,30390.9,30183.8,3164.34,2023-07-16 16:00:00,30294.375,30294.210115002057,30390.9,30183.8
110,30237.9,30217.8,30348.5,30112.5,3381.15,2023-07-16 20:00:00,30229.175,30261.69255750103,30348.5,30112.5
111,30217.8,30293.4,30318.7,30157.3,2872.57,2023-07-17 00:00:00,30246.800000000003,30254.246278750514,30318.7,30157.3
112,30293.4,30266.8,30313.2,30221.2,2413.3,2023-07-17 04:00:00,30273.65,30263.948139375258,30313.2,30221.2
113,30266.8,30142.0,30309.0,29951.9,8003.97,2023-07-17 08:00:00,30167.425000000003,30215.68656968763,30309.0,29951.9
114,30142.0,30161.4,30293.7,30016.0,7742.7,2023-07-17 12:00:00,30153.275,30184.480784843814,30293.7,30016.0
115,30161.4,29877.3,30224.8,29637.7,15439.72,2023-07-17 16:00:00,29975.3,30079.890392421905,30224.8,29637.7
116,29877.3,30121.9,30272.2,29864.8,5714.95,2023-07-17 20:00:00,30034.050000000003,30056.970196210954,30272.2,29864.8
117,30121.9,30059.4,30225.4,30058.7,4198.8,2023-07-18 00:00:00,30116.35,30086.660098105476,30225.4,30058.7
118,30059.4,29950.0,30108.9,29907.4,5668.86,2023-07-18 04:00:00,30006.425000000003,30046.54254905274,30108.9,29907.4
